Open Time,Close Time,Symbol,Direction,Volume,Open Price,Close Price,P&L,Commission,Swap,Spread,Currency
06/11/2026 10:33:58,06/11/2026 11:03:14,AADX,Buy,100.00,21.3299,21.02,-30.99,0.00,0.00,stock,USD
06/11/2026 10:37:02,06/11/2026 11:03:14,AADX,Buy,100.00,21.435,21.02,-41.50,0.00,0.00,stock,USD
06/11/2026 10:45:31,06/11/2026 11:17:05,ATEX,Buy,30.00,73.615,77.62,120.15,0.00,0.00,stock,USD
06/11/2026 10:45:31,06/11/2026 11:29:37,ATEX,Buy,20.00,73.615,77.06,68.90,0.00,0.00,stock,USD
06/11/2026 11:04:54,06/11/2026 11:30:00,MNTS,Buy,50.00,13.76,15.10,67.00,0.00,0.00,stock,USD
06/11/2026 11:07:50,06/11/2026 11:30:00,MNTS,Buy,100.00,14.1999,15.10,90.01,0.00,0.00,stock,USD
06/11/2026 11:20:38,06/11/2026 11:30:00,MNTS,Buy,100.00,14.9499,15.10,15.01,0.00,0.00,stock,USD
06/11/2026 11:13:28,06/11/2026 11:38:26,VOYG,Buy,100.00,46.755,47.08,32.50,0.00,0.00,stock,USD
