Date / Time,Date/Time,Date&Time,Date,Time,Symbol,Side,Buy/Sell,Quantity,Qty,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
07/24/2026 11:02:19,07/24/2026 11:02:19,07/24/2026 11:02:19,07/24/2026,11:02:19,MNQ,Sell,Sell,2.0,2.0,28301.0,Future,,,,0.0,0.0
07/24/2026 11:02:30,07/24/2026 11:02:30,07/24/2026 11:02:30,07/24/2026,11:02:30,MNQ,Sell,Sell,10.0,10.0,28298.0,Future,,,,0.0,0.0
07/24/2026 11:03:03,07/24/2026 11:03:03,07/24/2026 11:03:03,07/24/2026,11:03:03,MNQ,Sell,Sell,10.0,10.0,28286.75,Future,,,,0.0,0.0
07/24/2026 11:03:14,07/24/2026 11:03:14,07/24/2026 11:03:14,07/24/2026,11:03:14,MNQ,Sell,Sell,10.0,10.0,28288.5,Future,,,,0.0,0.0
07/24/2026 11:03:35,07/24/2026 11:03:35,07/24/2026 11:03:35,07/24/2026,11:03:35,MNQ,Buy,Buy,32.0,32.0,28291.75,Future,,,,0.0,0.0
07/24/2026 11:04:02,07/24/2026 11:04:02,07/24/2026 11:04:02,07/24/2026,11:04:02,MNQ,Sell,Sell,10.0,10.0,28289.75,Future,,,,0.0,0.0
07/24/2026 11:04:04,07/24/2026 11:04:04,07/24/2026 11:04:04,07/24/2026,11:04:04,MNQ,Sell,Sell,10.0,10.0,28290.25,Future,,,,0.0,0.0
07/24/2026 11:08:21,07/24/2026 11:08:21,07/24/2026 11:08:21,07/24/2026,11:08:21,MNQ,Buy,Buy,20.0,20.0,28244.0,Future,,,,0.0,0.0
