Open Time,Close Time,Symbol,Direction,Volume,Open Price,Close Price,P&L,Commission,Swap,Spread,Currency
06/04/2026 09:47:14,06/04/2026 10:50:57,UNH,Buy,15.00,397.825,397.5705,-3.82,0.00,0.00,stock,USD
06/04/2026 09:50:23,06/04/2026 10:50:57,UNH,Buy,5.00,400.50,397.5705,-14.65,0.00,0.00,stock,USD
06/04/2026 09:58:44,06/04/2026 11:10:14,MRNA,Buy,100.00,50.725,50.90,17.50,0.00,0.00,stock,USD
06/04/2026 09:59:47,06/04/2026 11:10:14,MRNA,Buy,50.00,50.88,50.90,1.00,0.00,0.00,stock,USD
06/04/2026 11:19:13,06/04/2026 11:20:54,ILMN,Buy,20.00,176.80,175.30,-30.00,0.00,0.00,stock,USD
06/04/2026 11:19:13,06/04/2026 11:31:28,ILMN,Buy,80.00,176.80,176.01,-63.20,0.00,0.00,stock,USD
06/04/2026 09:50:23,06/04/2026 11:33:42,UNH,Buy,10.00,400.50,397.74,-27.60,0.00,0.00,stock,USD
06/04/2026 10:40:03,06/04/2026 11:33:42,UNH,Buy,20.00,398.985,397.74,-24.90,0.00,0.00,stock,USD
06/04/2026 11:25:09,06/04/2026 11:39:04,BRKR,Buy,100.00,64.405,63.6039,-80.11,0.00,0.00,stock,USD
06/04/2026 09:44:59,06/04/2026 11:59:04,OSCR,Buy,100.00,23.045,23.49,44.50,0.00,0.00,stock,USD
06/04/2026 09:50:59,06/04/2026 11:59:04,OSCR,Buy,100.00,23.17,23.49,32.00,0.00,0.00,stock,USD
06/04/2026 10:36:40,06/04/2026 11:59:04,OSCR,Buy,50.00,23.36,23.49,6.50,0.00,0.00,stock,USD
06/04/2026 09:59:47,06/04/2026 12:13:10,MRNA,Buy,50.00,50.88,50.9232,2.16,0.00,0.00,stock,USD
06/04/2026 10:36:40,06/04/2026 12:17:41,OSCR,Buy,50.00,23.36,23.4912,6.56,0.00,0.00,stock,USD
06/04/2026 10:41:32,06/04/2026 12:17:41,OSCR,Buy,200.00,23.32,23.4912,34.24,0.00,0.00,stock,USD
06/04/2026 10:59:25,06/04/2026 12:17:41,OSCR,Buy,150.00,23.47,23.4912,3.18,0.00,0.00,stock,USD
06/04/2026 12:14:33,06/04/2026 12:33:06,VSH,Buy,100.00,64.53,64.70,17.00,0.00,0.00,stock,USD
06/04/2026 12:16:10,06/04/2026 12:33:06,VSH,Buy,100.00,64.745,64.70,-4.50,0.00,0.00,stock,USD
06/04/2026 12:21:44,06/04/2026 12:33:06,VSH,Buy,25.00,65.235,64.70,-13.37,0.00,0.00,stock,USD
06/04/2026 12:17:10,06/04/2026 13:22:10,OSCR,Buy,50.00,23.5299,23.59,3.00,0.00,0.00,stock,USD
06/04/2026 12:17:10,06/04/2026 14:33:08,OSCR,Buy,50.00,23.5299,23.59,3.00,0.00,0.00,stock,USD
06/04/2026 12:19:43,06/04/2026 14:33:08,OSCR,Buy,100.00,23.5551,23.59,3.49,0.00,0.00,stock,USD
06/04/2026 12:25:13,06/04/2026 14:33:08,OSCR,Buy,30.00,23.58,23.59,0.30,0.00,0.00,stock,USD
