"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
74,"LXU","LSB Industries Inc","Basic Materials","Chemicals","USA",1013.76,41.25,14.11,3.67%,1251655
75,"MCS","Marcus Corp","Communication Services","Entertainment","USA",578.57,48.45,19.26,-2.83%,160140
76,"MG","Mistras Group Inc","Industrials","Security & Protection Services","USA",569.52,34.13,17.90,0.28%,185746
77,"MGTX","MeiraGTx Holdings plc","Healthcare","Biotechnology","USA",857.62,,10.53,4.05%,1489693
78,"MITK","Mitek Systems Inc","Technology","Software - Application","USA",677.48,43.26,14.95,-1.32%,673764
79,"MOV","Movado Group Inc","Consumer Cyclical","Luxury Goods","USA",451.17,24.78,28.88,1.65%,166031
80,"MPLT","MapLight Therapeutics Inc","Healthcare","Biotechnology","USA",1202.64,,28.34,-5.69%,281884
81,"MRLN","Merlin Inc","Industrials","Aerospace & Defense","USA",461.16,75.97,13.66,0.59%,1733931
82,"NBTX","Nanobiotix ADR","Healthcare","Biotechnology","France",1543.81,,31.91,-5.56%,83409
83,"NGL","NGL Energy Partners LP","Energy","Oil & Gas Midstream","USA",1707.40,356.33,13.79,5.03%,207225
84,"NGNE","Neurogene Inc","Healthcare","Biotechnology","USA",432.03,,27.74,-0.39%,176711
85,"OBE","Obsidian Energy Ltd","Energy","Oil & Gas E&P","Canada",710.79,31.32,10.56,4.55%,1326319
86,"OBT","Orange County Bancorp Inc","Financial","Banks - Regional","USA",481.13,10.83,35.99,-0.42%,74814
87,"OOMA","Ooma Inc","Technology","Software - Application","USA",436.16,68.63,15.86,0.95%,324487
88,"OPRA","Opera Ltd ADR","Communication Services","Internet Content & Information","Norway",1568.88,14.65,17.50,2.22%,578623
89,"PCRX","Pacira BioSciences Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",1008.20,158.50,24.90,0.73%,798884
90,"PDFS","PDF Solutions Inc","Technology","Software - Application","USA",1736.84,,43.54,-0.98%,385884
91,"PENG","Penguin Solutions Inc","Technology","Information Technology Services","USA",1426.01,40142.86,28.10,5.09%,2090606
92,"PGC","Peapack-Gladstone Financial Corp","Financial","Banks - Regional","USA",699.32,18.91,39.80,0.91%,66121
93,"PKE","Park Aerospace Corp","Industrials","Aerospace & Defense","USA",692.82,80.21,34.77,0.75%,166734
94,"PKST","Peakstone Realty Trust","Real Estate","REIT - Office","USA",779.07,,20.95,0.05%,263693
95,"PLOW","Douglas Dynamics Inc","Consumer Cyclical","Auto Parts","USA",1064.67,23.47,46.12,-0.15%,109872
96,"PLSE","Pulse Biosciences Inc","Healthcare","Medical Instruments & Supplies","USA",1613.38,,23.73,1.41%,270117
97,"PRAA","PRA Group Inc","Financial","Credit Services","USA",820.98,,21.35,1.23%,200197
98,"PRSU","Pursuit Attractions and Hospitality Inc","Consumer Cyclical","Travel Services","USA",1127.34,48.92,41.07,-0.63%,257152
99,"PSTL","Postal Realty Trust Inc","Real Estate","REIT - Office","USA",699.44,45.51,21.27,0.00%,199822
100,"PUMP","ProPetro Holding Corp","Energy","Oil & Gas Equipment & Services","USA",1696.14,2074.63,13.90,-0.43%,1391057
101,"RAPP","Rapport Therapeutics Inc","Healthcare","Biotechnology","USA",1775.03,,37.14,-6.47%,242162
102,"RCKY","Rocky Brands Inc","Consumer Cyclical","Footwear & Accessories","USA",331.46,14.88,43.98,0.21%,30046
103,"REPX","Riley Exploration Permian Inc","Energy","Oil & Gas E&P","USA",730.06,4.52,33.85,1.14%,418905
104,"REX","REX American Resources Corp","Basic Materials","Chemicals","USA",1439.71,17.45,43.71,1.53%,171357
105,"RJET","Republic Airways Holdings Inc","Industrials","Airlines","USA",1029.78,,21.99,4.47%,147119
106,"RSVR","Reservoir Media Inc","Communication Services","Entertainment","USA",658.62,101.41,10.04,0.40%,71295
107,"SHAZ","SharonAI Holdings Inc","Technology","Information Technology Services","USA",587.07,,36.38,-1.72%,259561
108,"SHEN","Shenandoah Telecommunications Co","Communication Services","Telecom Services","USA",924.09,,16.71,2.64%,355364
109,"SHIP","Seanergy Maritime Holdings Corp","Industrials","Marine Shipping","Greece",311.01,14.78,14.73,0.27%,236268
110,"SILA","Sila Realty Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",1679.49,50.96,30.40,19.08%,9908578
111,"SPIR","Spire Global Inc","Industrials","Specialty Business Services","USA",635.45,11.50,18.15,-7.11%,2068824
112,"SRZN","Surrozen Inc","Healthcare","Biotechnology","USA",370.45,,32.25,2.19%,96241
113,"SSSS","SuRo Capital Corp","Financial","Asset Management","USA",336.89,8.12,13.27,-0.15%,168238
114,"STAA","Staar Surgical Co","Healthcare","Medical Instruments & Supplies","USA",1264.06,,25.53,1.79%,557960
115,"STRO","Sutro Biopharma Inc","Healthcare","Biotechnology","USA",572.90,,34.58,9.60%,201866
116,"STRZ","Starz Entertainment Corp","Communication Services","Entertainment","USA",331.42,,19.74,-1.74%,189435
117,"SWBI","Smith & Wesson Brands Inc","Industrials","Aerospace & Defense","USA",659.40,55.32,14.82,-0.20%,298440
118,"TBN","Tamboran Resources Corp","Energy","Oil & Gas E&P","Australia",917.33,,35.80,0.11%,159655
119,"TECX","Tectonic Therapeutic Inc","Healthcare","Biotechnology","USA",540.02,,28.76,-2.54%,219829
120,"TEN","Tsakos Energy Navigation Limited","Energy","Oil & Gas Midstream","Greece",1175.92,8.97,39.93,1.35%,362440
121,"TH","Target Hospitality Corp","Industrials","Specialty Business Services","USA",1563.39,,15.61,5.19%,1620441
122,"TITN","Titan Machinery Inc","Industrials","Industrial Distribution","USA",479.93,,20.55,0.98%,125090
123,"TK","Teekay Corp Ltd","Energy","Oil & Gas Midstream","Bermuda",1132.46,12.59,13.05,0.62%,386288
124,"TOYO","TOYO Co Ltd","Technology","Solar","Japan",492.68,12.34,13.42,4.68%,307831
125,"TRDA","Entrada Therapeutics Inc","Healthcare","Biotechnology","USA",519.14,,13.56,-3.07%,134090
126,"TRVI","Trevi Therapeutics Inc","Healthcare","Biotechnology","USA",1977.32,,15.40,1.12%,3824995
127,"TSSI","TSS Inc","Technology","Information Technology Services","USA",406.60,26.40,14.64,-1.81%,1356758
128,"ULH","Universal Logistics Holdings Inc","Industrials","Trucking","USA",634.25,,24.07,3.13%,54051
129,"URGN","UroGen Pharma Ltd","Healthcare","Biotechnology","USA",1213.16,,24.92,10.56%,1271022
130,"VRE","Veris Residential Inc","Real Estate","REIT - Residential","USA",1766.36,23.59,18.90,0.00%,1116745
131,"WBI","WaterBridge Infrastructure LLC","Energy","Oil & Gas Equipment & Services","USA",1129.95,,26.12,3.90%,886516
132,"WOLF","Wolfspeed Inc","Technology","Semiconductors","USA",1187.18,,26.33,3.01%,3476024
133,"WSR","Whitestone REIT","Real Estate","REIT - Retail","USA",1950.70,19.84,18.94,-0.05%,312984
134,"XNDU","Xanadu Quantum Technologies Ltd","Technology","Software - Infrastructure","Canada",1195.95,231.02,27.63,-8.51%,2494800
135,"XOMA","XOMA Royalty Corp","Healthcare","Biotechnology","USA",476.63,27.50,40.00,0.73%,110054
136,"ZD","Ziff Davis Inc","Communication Services","Advertising Agencies","USA",1790.45,42.76,47.32,-0.48%,586820
137,"ZVRA","Zevra Therapeutics Inc","Healthcare","Biotechnology","USA",632.91,7.22,10.78,1.03%,632282
